chat_gender,resp_gender,resp_age,chat_voiced,chat_usage,ai_perception,resp_language
Neutral / No gender,Male,21-30,"No, only in a text box",Daily,Strongly Positive,Slovak
Definitely Male,Female,15-20,,Weekly,Slightly Positive,English
Probably Female,Male,15-20,"No, only in a text box",Weekly,Slightly Positive,English
Neutral / No gender,Male,41-60,"No, only in a text box",Less than once a month,Slightly Positive,French
Definitely Female,Male,,"No, only in a text box",Less than once a month,Neutral,English
Neutral / No gender,Female,21-30,"No, only in a text box",Less than once a month,Slightly Positive,Bengali
Probably Male,Female,21-30,"No, only in a text box",Never,Negative,German
Leaning Male,Female,31-40,"No, only in a text box",Less than once a month,Positive,English
Leaning Female,Non-binary/Other,21-30,"Yes, with a female voice",Weekly,Positive,English
Leaning Male,Male,15-20,"No, only in a text box",Weekly,Positive,English
Probably Male,Male,15-20,"No, only in a text box",Daily,Positive,English
Leaning Female,Female,15-20,"No, only in a text box",Weekly,Neutral,English
Definitely Male,Male,21-30,"No, only in a text box",Weekly,Positive,Polish
Neutral / No gender,Female,21-30,"No, only in a text box",Daily,Slightly Positive,English
Leaning Male,Male,15-20,,Daily,Negative,English
Probably Female,Male,31-40,"Yes, with a female voice",Daily,Positive,English
Neutral / No gender,Male,31-40,"Yes, with a male voice",Weekly,Positive,English
Probably Female,Male,15-20,,Weekly,Slightly Positive,English
Leaning Male,Male,21-30,"No, only in a text box",Daily,Strongly Positive,English
Neutral / No gender,Male,15-20,,Monthly,Slightly Positive,French
Leaning Male,Female,15-20,"No, only in a text box",Less than once a month,Slightly Negative,English
Definitely Male,Female,21-30,"No, only in a text box",Less than once a month,Neutral,French
Neutral / No gender,Male,21-30,"No, only in a text box",Less than once a month,Strongly Positive,English
Leaning Male,Female,21-30,"No, only in a text box",Monthly,Slightly Positive,English
Probably Male,Male,21-30,"Yes, with a male voice",Daily,Strongly Positive,English
Neutral / No gender,Male,15-20,,Monthly,Slightly Negative,French
Probably Male,Female,15-20,"No, only in a text box",Monthly,Slightly Negative,English
Neutral / No gender,Male,21-30,"Yes, with a female voice",Daily,Positive,English
Probably Male,Female,31-40,"No, only in a text box",Less than once a month,Positive,English
Neutral / No gender,Male,31-40,"No, only in a text box",Daily,Slightly Negative,
Neutral / No gender,Male,15-20,"No, only in a text box",Daily,Strongly Positive,English
Definitely Male,Male,15-20,"No, only in a text box",Less than once a month,Strongly Negative,English
Neutral / No gender,Male,15-20,"No, only in a text box",Less than once a month,Neutral,English
Neutral / No gender,Female,41-60,"No, only in a text box",Less than once a month,Slightly Negative,English
Definitely Male,Male,21-30,,Monthly,Negative,English
Probably Male,Female,41-60,,Less than once a month,Slightly Negative,English
Neutral / No gender,Male,15-20,"No, only in a text box",Monthly,Strongly Positive,English
Neutral / No gender,Female,41-60,"No, only in a text box",Less than once a month,Positive,English
Probably Male,Female,15-20,"No, only in a text box",Monthly,Slightly Positive,English
Neutral / No gender,Female,15-20,"No, only in a text box",Weekly,Positive,Mandarin
Neutral / No gender,Male,21-30,"No, only in a text box",Less than once a month,Slightly Positive,Greek
Probably Male,Male,31-40,"No, only in a text box",Daily,Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Weekly,Positive,English
Neutral / No gender,Female,15-20,,Less than once a month,Neutral,English
Leaning Female,Male,15-20,"No, only in a text box",Less than once a month,Slightly Negative,English
Leaning Male,Male,15-20,,Weekly,Strongly Positive,English
Neutral / No gender,Male,21-30,"No, only in a text box",Weekly,Strongly Positive,English
Probably Male,Male,21-30,"No, only in a text box",Daily,Slightly Positive,Croatian
